date,open,high,low,close,C-O,volume,SMA7,profit or not
"28,09,2021",142.4529,143.9446,140.9016,141.1204,-1.3325,108444422,143.9445571,1
"29,09,2021",141.6772,143.6462,141.2397,142.0352,0.358,74299723,143.9289286,0
"30,09,2021",142.8606,143.5746,140.4939,140.7126,-2.148,88765409,143.6547429,1
"1,10,2021",141.1104,142.1247,138.336,141.8562,0.7458,93898379,143.2001429,0
"4,10,2021",140.9712,141.4187,137.5006,138.3658,-2.6054,97898428,142.1076857,1
"5,10,2021",138.7138,141.4485,138.5846,140.3248,1.611,80568717,141.2823,0
"6,10,2021",138.6939,141.359,137.6001,141.2099,2.516,82621764,140.8035571,0
"7,10,2021",142.264,143.4125,141.9259,142.4927,0.2287,61405239,140.9996,0
"8,10,2021",143.2286,143.3758,141.7667,142.1049,-1.1237,58566686,141.0095571,1
"11,10,2021",141.4784,144.0042,141.0209,142.0154,0.537,64254640,141.1956714,0
"12,10,2021",142.433,142.4529,140.2553,140.7226,-1.7104,71977582,141.0337286,1
"13,10,2021",140.4491,140.6132,138.4254,140.1259,-0.3232,77572276,141.2851714,1
"14,10,2021",141.3193,143.0794,140.7226,142.9601,1.6408,67204566,141.6616429,0
"15,10,2021",142.97,144.0888,142.7115,144.0341,1.0641,67681353,142.0651,0
"18,10,2021",142.6468,146.0229,142.3634,145.7345,3.0877,82914914,142.5282143,0
"19,10,2021",146.192,148.34,145.7345,147.9322,1.7402,74778881,143.3606857,0
"20,10,2021",147.8726,148.9206,147.2958,148.4295,0.5569,58085532,144.2769857,0
"21,10,2021",147.982,148.8074,147.0472,148.6482,0.6662,61247633,145.4092143,0
"22,10,2021",148.8571,149.3443,147.8129,147.8626,-0.9945,58703843,146.5144571,1
"25,10,2021",147.8527,148.5389,146.7997,147.8129,-0.0398,50376102,147.2077143,1
"26,10,2021",148.4991,150.0007,148.181,148.4891,-0.01,60630899,147.8441429,1
"27,10,2021",148.5289,148.8969,147.6638,148.0217,-0.5072,55786500,148.1708857,1
"28,10,2021",148.9864,152.3127,148.8869,151.721,2.7346,95522214,148.7121429,0
"29,10,2021",146.3958,149.1057,145.5981,148.9665,2.5707,120521424,148.7888571,0
"1,11,2021",148.156,148.867,146.9776,148.1311,-0.0249,73492793,148.7149857,1
"2,11,2021",147.8328,150.7266,147.8229,149.1852,1.3524,69032831,148.9039286,0
"3,11,2021",149.5532,151.1244,148.9864,150.6471,1.0939,54003704,149.3088143,0
"4,11,2021",150.7366,151.5818,149.8018,150.12,-0.6166,60056640,149.5418,1
"5,11,2021",151.2645,151.5732,149.442,150.657,-0.6075,65275966,149.9182714,1
"8,11,2021",150.7865,150.9458,149.5416,149.8205,-0.966,54753483,149.6467714,1
"9,11,2021",149.5815,150.8044,149.4421,150.1889,0.6074,56573449,149.8214,0
"10,11,2021",149.4022,149.5117,147.2411,147.3108,-2.0914,65070159,149.7042143,1
"11,11,2021",148.3466,148.8146,147.0728,147.261,-1.0856,40840550,149.4293286,1
"12,11,2021",147.8187,149.7806,146.8727,149.3723,1.5536,63245197,149.2472143,0
"15,11,2021",149.7508,151.2545,148.8146,149.3823,-0.3685,55985956,149.1418286,1
"16,11,2021",149.3225,150.8641,148.725,150.3782,1.0557,58616372,149.102,0
"17,11,2021",150.3732,154.3617,150.3682,152.8579,2.4847,88107637,149.5359143,0
"18,11,2021",153.077,158.0166,152.4197,157.2199,4.1429,137214082,150.5403429,0
"19,11,2021",157.0008,160.3569,155.8882,159.8888,2.888,116744360,152.3372,0
"22,11,2021",161.0142,165.0176,160.337,160.3569,-0.6573,116197266,154.2080429,1
"23,11,2021",160.4565,161.1337,158.4051,160.7453,0.2888,95434007,155.8327571,0
"24,11,2021",160.088,161.4723,158.9826,161.2731,1.1851,69463623,157.5314429,0
"26,11,2021",158.9079,159.7892,155.7161,156.1642,-2.7437,76083252,158.3580143,1
"29,11,2021",158.7137,160.5262,158.1362,159.5801,0.8664,87418284,159.3183286,0
"30,11,2021",159.3262,164.8384,159.2614,164.6193,5.2931,169984434,160.3753857,0
"1,12,2021",166.7903,169.5987,163.8524,164.0914,-2.6989,148754266,160.9757571,1
"2,12,2021",158.0813,163.5238,157.1502,163.0856,5.0043,136341329,161.3655714,0
"3,12,2021",163.3445,164.2807,159.0622,161.1735,-2.171,117715751,161.4267429,1
"6,12,2021",163.6134,167.1885,163.6035,164.6392,1.0258,106617239,161.9076143,0
"7,12,2021",168.3837,170.8734,167.6467,170.4751,2.0914,120405352,163.9520286,0
"8,12,2021",171.4162,175.2354,169.997,174.359,2.9428,116385861,166.0633,0
"9,12,2021",174.1897,176.0221,173.2038,173.8411,-0.3486,108705546,167.3807,1
"10,12,2021",174.4835,178.8903,173.9706,178.711,4.2275,112749865,169.4692143,0
"13,12,2021",180.3691,181.38,174.8071,175.0163,-5.3528,150646373,171.1736,1
"14,12,2021",174.5283,177.008,171.5008,173.6121,-0.9162,132804392,172.9505429,1
"15,12,2021",174.3889,178.7608,171.6012,178.5616,4.1727,124270351,174.9394571,0
"16,12,2021",178.5417,180.394,170.0468,171.5506,-6.9911,148691636,175.0931,1
"17,12,2021",169.2302,172.7556,168.9912,170.4352,1.205,194409928,174.5325571,0
"20,12,2021",167.587,169.8775,166.7704,169.0509,1.4639,105925359,173.8482429,0
"21,12,2021",170.8485,172.4867,168.4235,172.2776,1.4291,85114809,172.9291857,0
"22,12,2021",172.3274,175.1358,171.4411,174.9167,2.5893,90665524,172.9149571,0
"23,12,2021",175.1258,176.1216,174.5482,175.554,0.4282,68356567,173.1923714,0
